data_id,event_date,inter1,inter2
5855375,20180227,3,0
5855376,20180227,1,0
6077072,20180227,2,2
6124948,20180227,1,7
5690007,20180227,3,7
5853080,20180227,3,7
5857947,20180227,2,2
5857948,20180227,2,2
5855389,20180227,2,7
6124189,20180227,2,2
6130337,20180227,1,0
5840806,20180227,1,0
5855399,20180227,3,7
5849002,20180227,2,0
5857962,20180227,2,7
5857966,20180227,1,0
5857967,20180227,1,0
5857968,20180227,1,0
6082739,20180227,1,2
5866164,20180227,2,2
5857974,20180227,3,7
5863094,20180227,2,0
6082746,20180227,2,2
5849531,20180227,2,2
5865148,20180227,2,0
5861565,20180227,2,0
5850558,20180227,2,0
5855424,20180227,2,0
5855425,20180227,2,0
5839560,20180227,1,7
6129869,20180227,1,0
5853646,20180227,1,0
7020752,20180227,8,2
6082769,20180227,8,2
5840595,20180227,1,0
5851091,20180227,2,2
5853653,20180227,1,0
5853654,20180227,1,0
5856219,20180227,3,7
5848541,20180227,1,0
5853662,20180227,6,0
5856225,20180227,1,0
5865442,20180227,1,2
5866467,20180227,2,2
5841125,20180227,1,0
5863401,20180227,2,0
5848558,20180227,2,2
5851377,20180227,2,0
5839602,20180227,1,0
5907958,20180227,1,7
5851897,20180227,2,2
5907962,20180227,1,0
6125306,20180227,1,2
5907964,20180227,1,0
5907965,20180227,1,7
5848318,20180227,1,0
6079232,20180226,2,2
5867788,20180226,2,2
6074894,20180226,2,0
5866258,20180226,3,0
5855514,20180226,1,7
5866020,20180226,2,2
5862700,20180226,1,2
6039347,20180226,1,0
6039348,20180226,1,7
6039349,20180226,1,7
6039351,20180226,2,2
6039352,20180226,1,0
7219768,20180226,1,0
6039354,20180226,1,0
7219770,20180226,1,0
6039355,20180226,1,7
6039357,20180226,2,2
6039358,20180226,1,7
6039359,20180226,1,7
6039360,20180226,2,1
6039361,20180226,1,7
6039362,20180226,2,2
6039364,20180226,8,7
6039365,20180226,1,0
6039366,20180226,1,7
6039367,20180226,2,2
6039368,20180226,1,7
6039369,20180226,1,0
6039370,20180226,1,7
6039371,20180226,1,0
6039372,20180226,1,0
6039373,20180226,1,7
6039374,20180226,2,2
5853006,20180226,1,2
6039375,20180226,1,7
5853007,20180226,3,7
5866063,20180226,1,0
6039378,20180226,8,7
6039379,20180226,8,7
5844575,20180226,2,1
7219809,20180226,1,0
7219810,20180226,1,0
7218532,20180226,1,0
5844580,20180226,1,0
5867620,20180226,1,0
5858152,20180226,1,0
5868136,20180226,3,0
5844596,20180226,2,1
6131317,20180226,1,7
5866365,20180226,1,0
5866877,20180226,2,2
7263103,20180226,8,2
5858176,20180226,1,0
7219846,20180226,1,0
5858182,20180226,1,7
7219848,20180226,1,0
5844872,20180226,1,7
6124936,20180226,1,7
7286410,20180226,3,7
5858187,20180226,1,0
5858188,20180226,1,0
5859980,20180226,3,0
6077069,20180226,8,2
6124686,20180226,1,2
6078863,20180226,1,2
5858194,20180226,1,7
5863571,20180226,1,0
5863573,20180226,1,0
7264921,20180226,3,7
6124446,20180226,1,7
5868200,20180226,8,2
6125228,20180226,1,7
7218356,20180226,1,2
6076340,20180226,2,0
7218357,20180226,1,7
7218358,20180226,1,7
7218359,20180226,1,0
7218360,20180226,1,7
5854648,20180226,3,2
5863610,20180226,1,7
6074561,20180226,1,7
6074571,20180226,2,2
7264716,20180226,2,2
6876876,20180226,2,0
6074574,20180226,8,2
7020754,20180226,8,2
5859036,20180226,6,0
6074589,20180226,2,2
5690077,20180226,3,7
5859038,20180226,1,0
5690079,20180226,2,2
5690080,20180226,2,0
5868002,20180226,6,0
5690082,20180226,2,2
5844969,20180226,1,7
5907948,20180226,1,0
5907955,20180226,1,0
5843447,20180226,1,0
6079225,20180226,2,2
5860862,20180226,3,0
5862654,20180226,8,2
6074623,20180226,2,2
6123010,20180225,1,7
5868805,20180225,1,0
5865994,20180225,1,0
6039313,20180225,1,0
5864465,20180225,1,0
6039314,20180225,1,2
6039315,20180225,1,2
5844243,20180225,1,0
6039316,20180225,1,0
6039317,20180225,1,7
5690133,20180225,1,0
6039318,20180225,1,0
7286294,20180225,1,2
6039319,20180225,1,7
6039320,20180225,8,2
6039321,20180225,1,0
6039322,20180225,1,2
6039323,20180225,2,2
6039324,20180225,1,7
6039325,20180225,1,2
6039326,20180225,8,7
6039327,20180225,1,7
6039328,20180225,1,2
5868065,20180225,2,2
6039330,20180225,1,0
6039331,20180225,1,2
5868579,20180225,8,0
6039332,20180225,1,7
6039333,20180225,1,2
6039334,20180225,8,2
6039335,20180225,1,0
6123047,20180225,2,7
6039336,20180225,1,7
6039337,20180225,1,7
6039338,20180225,1,0
6039339,20180225,8,2
6039340,20180225,8,7
6039341,20180225,1,7
6039342,20180225,1,0
5869358,20180225,1,0
6039343,20180225,8,2
6039344,20180225,8,3
